Date,Stock,Open,High,Low,Close,Volume
2020-01-01,AAPL,173.8,174.75,173.68,174.43,8204212
2020-01-02,AAPL,176.01,177.59,174.07,177.55,2766891
2020-01-03,AAPL,177.57,178.37,176.62,176.71,5721339
2020-01-06,AAPL,176.01,177.58,171.33,171.73,9242680
2020-01-07,AAPL,171.85,172.2,170.69,170.82,4416664
2020-01-08,AAPL,170.22,171.59,168.76,169.64,5056518
2020-01-09,AAPL,170.77,171.86,169.99,171.52,7249859
2020-01-10,AAPL,171.72,172.82,167.44,167.81,4584702
2020-01-13,AAPL,167.63,170.82,165.78,170.03,4047262
2020-01-14,AAPL,169.02,169.56,164.2,165.86,6517209
2020-01-15,AAPL,165.95,167.34,165.36,166.79,6173036
2020-01-16,AAPL,166.11,167.35,164.48,167.34,2737095
2020-01-17,AAPL,168.23,169.89,167.51,169.74,4853339
2020-01-20,AAPL,170.07,172.68,169.94,172.02,4747389
2020-01-21,AAPL,173.2,174.48,169.63,171.41,1491234
2020-01-22,AAPL,171.77,173.29,169.36,170.48,7167294
2020-01-23,AAPL,169.86,171.41,169.46,170.53,6292895
2020-01-24,AAPL,169.11,172.21,167.29,171.19,1973548
2020-01-27,AAPL,169.78,172.04,168.58,170.16,5574293
2020-01-28,AAPL,170.45,172.83,170.24,172.24,9306461
2020-01-29,AAPL,171.9,173.64,171.19,173.4,3484413
2020-01-30,AAPL,173.14,174.0,170.77,172.41,6822184
2020-01-31,AAPL,171.54,172.61,169.56,170.52,5422880
2020-02-03,AAPL,170.18,172.07,167.93,168.58,7409907
2020-02-04,AAPL,168.84,170.76,168.18,168.69,5959617
2020-02-05,AAPL,167.93,170.84,167.39,168.84,1225281
2020-02-06,AAPL,168.18,168.75,166.37,168.19,6500306
2020-02-07,AAPL,168.53,173.37,167.42,172.48,2119043
2020-02-10,AAPL,172.26,172.75,169.28,170.89,7659908
2020-02-11,AAPL,172.29,176.15,172.11,175.08,3008187
2020-02-12,AAPL,177.01,178.89,176.36,177.17,7404003
2020-02-13,AAPL,177.18,177.63,175.16,176.45,1071295
2020-02-14,AAPL,177.7,179.18,176.23,177.83,9763313
2020-02-17,AAPL,178.64,180.28,175.07,176.18,1686976
2020-02-18,AAPL,176.44,178.68,175.74,178.01,4674515
2020-02-19,AAPL,178.26,180.23,178.09,178.95,7324167
2020-02-20,AAPL,179.6,182.97,178.86,181.81,5327576
2020-02-21,AAPL,183.67,185.92,183.22,184.62,6333152
2020-02-24,AAPL,184.62,184.97,183.12,183.85,9516999
2020-02-25,AAPL,184.27,187.29,184.09,186.15,3269042
2020-02-26,AAPL,184.84,187.46,182.88,186.28,7105525
2020-02-27,AAPL,186.14,188.58,184.85,187.88,5103022
2020-02-28,AAPL,186.47,187.92,185.84,186.4,4772962
2020-03-02,AAPL,186.39,187.33,184.63,186.77,7979451
2020-03-03,AAPL,187.25,189.17,185.4,187.1,7357182
2020-03-04,AAPL,186.15,186.69,183.99,184.96,7842385
2020-03-05,AAPL,185.67,187.25,184.53,185.85,9106609
2020-03-06,AAPL,185.91,187.67,182.14,183.63,8315360
2020-03-09,AAPL,184.04,185.15,182.0,182.59,8782937
2020-03-10,AAPL,182.89,185.23,181.87,183.41,7512440
2020-03-11,AAPL,182.22,183.36,181.43,183.21,9837590
2020-03-12,AAPL,183.28,184.16,181.12,182.46,1118834
